name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
Samsung Galaxy A54 5G ,16/05/23,False,,59999.0,59999.0,4.0,"[0, 1, 0, 0, 0]",,Samsung,125791540_NP-1034099604,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,32,50,4,Corning Gorilla Glass 5,2023,"4G,GSM,5G",25W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,On-Screen,Yes,Shared,2160p,Android,Yes,SAMSUNG A54 5G,No,Super AMOLED,Octa-core,120 Hz,"HD,Full HD,4K",
Nokia C30 ,16/05/23,True,-17%,11999.0,9999.0,4.8,"[3, 1, 0, 0, 0]",Good....100% genuine productNice!,Nokia,105505044_NP-1031460973,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5,13,2,Glass,2022,4G,no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Nokia G21 Android Smart phone,16/05/23,False,,22999.0,22999.0,4.0,"[3, 0, 0, 0, 1]",mobile c type ko vayo ..... 😌 repair garer sidha huncha...?,Nokia,115870577_NP-1031697095,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8,50,3,Not Specified,2022,"4G,GSM,3G",18 W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme 9i 5G 6,16/05/23,False,,29999.0,29999.0,5.0,"[2, 0, 0, 0, 0]",I think this is good product 😊😊 I am happy with this product but dont know which is my warranty card if in case anything happen to this mobile how can I use warranty but feel this product is greatthe phone is good. has good performance. if anyone wants to buy this go for it,RealMe,119234801_NP-1032640333,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,8 mp,50mp,3,Gorilla Glass Victus,2022,5G,18W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A04e ,16/05/23,False,,12499.0,12499.0,5.0,"[1, 0, 0, 0, 0]",,Samsung,122837502_NP-1033389696,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,13MP+2MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,No Fingerprint Sensor,Yes,Dedicated,1080p,,Yes,SM-A042F,Yes,IPS LCD,Octa-core,60 Hz,HD,
Narzo 50 ,16/05/23,False,,27499.0,27499.0,5.0,"[1, 0, 0, 0, 0]",Best phone for Gaming & photography.,narzo by realme,113856988_NP-1030987671,5000 - 5999 mAh,6.6 - 7 Inch,Not Specified,16 MP,50 MP,3,Not Specified,2022,,33 WATT,No,,,,,,,,,,,,,,,,,,,,,,,,
Apple iPhone 14 Pro Max ,16/05/23,False,,217790.0,217790.0,0.0,"[0, 0, 0, 0, 0]",,Apple,123410112_NP-1034007654,4000 - 4999 mAh,6.6 - 7 Inch,Glass,12MP,48MP+12MP+12MP,4,Corning Gorilla Glass 5,2022,"4G,GSM,3.5G - HSDPA,5G",20W,Yes,2,400-500 PPI,Lightning,Yes,Yes,Yes,Nano,No,Yes,No,Yes,On-Screen,No,Not Specified,1080p,iOS,Yes,14 Pro Max,,OLED,Hexa-core,120 Hz,Ultra HD,
Samsung Galaxy A03S Mobile 3GB RAM 32GB ROM,16/05/23,False,,15999.0,15999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,110375632_NP-1030187836,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,5 MP,13 MP,3,Not Specified,2021,3G,Yes,No,2,200-300 PPI,,,,,,,,,,,,,Full HD,Android,Not Specified,Galaxy A03S,Yes,IPS LCD,Not Specified,,HD,
Samsung Galaxy Z Flip 4 5G ,16/05/23,False,,144999.0,144999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123948001_NP-1033621000,3000 - 3999 mAh,6.6 - 7 Inch,Glass,10,12,3,Gorilla Glass Victus,2023,"4G,GSM,5G",25W Fast Charging,Yes,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,Side Mounted,Yes,Shared,2160p,Android,Yes,z Flip 4,No,Super AMOLED,Octa-core,120 Hz,"HD,Ultra HD,4K",
Itel vision 3,16/05/23,False,,15490.0,15490.0,0.0,"[0, 0, 0, 0, 0]",,Itel,125986450_NP-1034165272,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5 mp,8mp,3,Glass,2022,4G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A03S ,16/05/23,False,,15999.0,15999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118949915_NP-1032578076,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,13,4,Corning Gorilla Glass 2,2022,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
realme C21y ,16/05/23,False,,16199.0,16199.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,120107175_NP-1032810902,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,5MP,13MP + 2MP + 2MP,4,Glass,2021,,Yes,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Realme Narzo  50i ,16/05/23,False,,13499.0,13499.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,118954255_NP-1032572862,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
